text,intent
"มหาวิทยาลัยมีกี่คณะ?","general_question"
"วิสัยทัศน์ของสถาบันเทคโนโลยีจิตรลดาคืออะไร?","general_question"
"ปรัชญาของสถาบันเทคโนโลยีจิตรลดาคือข้อใด?","general_question"
"ข้อใดไม่ได้อยู่ในหัวข้อความเป็นจิตรลดา?","general_question"
"สถาบันเทคโนโลยีจิตรลดาเริ่มต้นจากอะไร?","general_question"
"โรงเรียนจิตรลดาก่อตั้งขึ้นในปี พ.ศ. ใด?","general_question"
"สถาบันเทคโนโลยีจิตรลดาเปลี่ยนสถานะเป็นสถาบันอุดมศึกษาในกำกับของรัฐเมื่อใด?","general_question"
"สีประจำสถาบันเทคโนโลยีจิตรลดาคือสีใด?","general_question"
"ต้นไม้ประจำสถาบันเทคโนโลยีจิตรลดาคือต้นใด?","general_question"
"สีแสดเป็นสีประจำคณะใด?","general_question"
"สถานที่ตั้งของสถาบันเทคโนโลยีจิตรลดาอยู่ในบริเวณใด?","general_question"
"ทิศใต้ของสถาบันเทคโนโลยีจิตรลดาคือสถานที่ใด?","general_question"
"อาคารหลักของสถาบันเทคโนโลยีจิตรลดาคืออาคารใด?","general_question"
"รถโดยสารประจำทางสายใดที่ผ่านถนนศรีอยุธยา?","general_question"
"สถาบันให้ความสำคัญกับอะไรในชีวิตนักศึกษา?","general_question"
"ประวัติการก่อตั้งของสถาบันเทคโนโลยีจิตรลดาคืออะไร?","general_question"
"ใครคือผู้ก่อตั้งสถาบันเทคโนโลยีจิตรลดา?","general_question"
"สถาบันเทคโนโลยีจิตรลดามีพันธกิจอะไรบ้าง?","general_question"
"คณะทั้งหมดของสถาบันเทคโนโลยีจิตรลดามีอะไรบ้าง?","general_question"
"ค่าเทอมของแต่ละคณะอยู่ในช่วงเท่าไร?","general_question"
"ชื่อเต็มของมหาวิทยาลัยในภาษาอังกฤษคืออะไร?","general_question"
"สถาบันเทคโนโลยีจิตรลดามีวิชาบังคับอะไรบ้าง?","general_question"
"ใครคืออธิการบดีคนปัจจุบันของสถาบันเทคโนโลยีจิตรลดา?","general_question"
"การเรียนการสอนของสถาบันเทคโนโลยีจิตรลดาเน้นไปที่อะไร?","general_question"
"คณะบริหารธุรกิจมีวิชาเลือกอะไรบ้าง?","general_question"
"จุดเด่นของสถาบันเทคโนโลยีจิตรลดาคืออะไร?","general_question"
"มหาวิทยาลัยรับสมัครนักศึกษาใหม่ช่วงไหน?","general_question"
"สามารถติดต่อฝ่ายทะเบียนได้ที่ไหน?","general_question"
"คณะวิศวกรรมศาสตร์เปิดสอนกี่สาขาวิชา?","general_question"
"ใครคือประธานสภามหาวิทยาลัย?","general_question"
"สถานที่สำหรับจอดรถนักศึกษาคือบริเวณใด?","general_question"
"ห้องสมุดเปิดให้บริการเวลาใด?","general_question"
"เราสามารถสมัครขอทุนการศึกษาได้ที่ไหน?","general_question"
"หอพักนักศึกษาของสถาบันอยู่ที่ไหน?","general_question"
"การเดินทางด้วยรถไฟฟ้า BTS มาที่มหาวิทยาลัยต้องลงสถานีอะไร?","general_question"
"มหาวิทยาลัยมีบริการรถรับส่งหรือไม่?","general_question"
"อาคารเรียนรวมอยู่บริเวณใดของสถาบัน?","general_question"
"ศูนย์อาหารตั้งอยู่ที่ไหนในมหาวิทยาลัย?","general_question"
"คณะวิทยาศาสตร์มีการวิจัยในด้านใดบ้าง?","general_question"
"มีทุนการศึกษาประเภทใดบ้าง?","general_question"
"สถานที่สำหรับจัดกิจกรรมกีฬาอยู่บริเวณใด?","general_question"
"มหาวิทยาลัยมีบริการอินเทอร์เน็ตให้กับนักศึกษาหรือไม่?","general_question"
"เราสามารถขอรับคำปรึกษาเกี่ยวกับการเลือกสาขาวิชาได้ที่ไหน?","general_question"
"วันนี้มีอาจารย์ท่านไหนอยู่ที่มหาวิทยาลัยบ้าง?","general_question"
"เกรดเท่าไหร่ถึงได้เกียรตินิยมอันดับ 1","general_question"
"ช่องทางการติดต่ออาจารย์ในสาขา ทุกช่องทาง","general_question"
"อยากลาต้องแจ้งอาจารย์ผ่านอีเมลไหมคะ","general_question"
"ร้านอาหารในสถาบันอยู่ตรงส่วนไหนบ้างครับ","general_question"
"ฉันสามารถขอคำปรึกษาด้านอาชีพหรือการฝึกงานได้ที่ไหน?","general_question"
"มหาวิทยาลัยมีทั้งหมดกี่คณะ?","general_question"
"วิสัยทัศน์หลักของสถาบันเทคโนโลยีจิตรลดาคืออะไร?","general_question"
"จุดเริ่มต้นของสถาบันเทคโนโลยีจิตรลดามาจากอะไร?","general_question"
"สีประจำสถาบันคือสีอะไร?","general_question"
"ต้นไม้ที่เป็นสัญลักษณ์ของสถาบันเทคโนโลยีจิตรลดาคืออะไร?","general_question"
"สีแสดเป็นตัวแทนของคณะอะไร?","general_question"
"ที่ตั้งของสถาบันเทคโนโลยีจิตรลดาอยู่ส่วนไหนของเมือง?","general_question"
"สถาบันให้ความสำคัญกับอะไรในชีวิตของนักศึกษามากที่สุด?","general_question"
"อาคารหลักที่ใช้สำหรับจัดการเรียนการสอนของสถาบันคืออาคารอะไร?","general_question"
"การเดินทางโดยรถประจำทางมาที่มหาวิทยาลัยมีสายไหนบ้าง?","general_question"
"เมื่อปีการศึกษา 2565 มีนักศึกษาชั้นปีที่ 3 จำนวนเท่าใด?","general_question"
"ปีการศึกษานี้ 2567 มีนักศึกษารวมทั้งสิ้นกี่คน?","general_question"
"ใครเป็นผู้ริเริ่มก่อตั้งสถาบันเทคโนโลยีจิตรลดา?","general_question"
"พันธกิจหลักของสถาบันเทคโนโลยีจิตรลดาคืออะไรบ้าง?","general_question"
"ค่าเล่าเรียนของแต่ละคณะอยู่ที่ประมาณเท่าไหร่?","general_question"
"หลักสูตรบังคับในสถาบันเทคโนโลยีจิตรลดามีอะไรบ้าง?","general_question"
"ใครดำรงตำแหน่งอธิการบดีของสถาบันในปัจจุบัน?","general_question"
"การเรียนในสถาบันเทคโนโลยีจิตรลดามีเป้าหมายอะไร?","general_question"
"คณะบริหารธุรกิจเปิดสอนวิชาเลือกอะไรที่น่าสนใจบ้าง?","general_question"
"มหาวิทยาลัยเปิดรับสมัครนักศึกษาใหม่ช่วงใด?","general_question"
"ถ้าต้องการติดต่อฝ่ายทะเบียนควรไปที่ไหน?","general_question"
"คณะวิศวกรรมศาสตร์มีสาขาวิชาอะไรบ้าง?","general_question"
"ที่จอดรถของนักศึกษาอยู่บริเวณไหนในมหาวิทยาลัย?","general_question"
"ห้องสมุดของสถาบันเปิดทำการในเวลาใด?","general_question"
"หอพักสำหรับนักศึกษาของสถาบันตั้งอยู่ที่ไหน?","general_question"
"ถ้าเดินทางมามหาวิทยาลัยด้วยรถไฟฟ้า BTS ควรลงที่สถานีใด?","general_question"
"มหาวิทยาลัยมีบริการรถรับส่งนักศึกษาหรือไม่?","general_question"
"อาคารเรียนรวมของมหาวิทยาลัยอยู่บริเวณไหน?","general_question"
"ศูนย์อาหารของมหาวิทยาลัยตั้งอยู่ในส่วนไหนของสถาบัน?","general_question"
"คณะวิทยาศาสตร์มีโครงการวิจัยเกี่ยวกับอะไรบ้าง?","general_question"
